End Date,Lab,Temp,Sal,pH,NH4,NO2,NO3,PO4,Alk,Ca,Mg,,,,,,,,,,,,,,,,,,
12/8/2024,GNV,22.7,36.3,7.69,0,0,17,0.23,6.54,490,1410,,,,,,,,,,,,,,,,,,
12/15/2024,GNV,22.7,35.5,7.83,0,0,16.6,0.06,5.97,485,1470,,,,,,,,,,,,,,,,,,
12/22/2024,GNV,22.7,35.3,7.9,0,0,8,0.05,6.73,437,1280,,,,,,,,,,,,,,,,,,
12/29/2024,GNV,22.7,35.2,7.9,0,0,17,0.24,5.9,403,1317,,,,,,,,,,,,,,,,,,
1/5/2025,GNV,22.2,35.3,7.9,0.05,0,8,0.36,6.31,467,1382,,,,,,,,,,,,,,,,,,
1/12/2025,GNV,22.2,36,8,0,0,6.5,0.14,6.12,414,1354,,,,,,,,,,,,,,,,,,
1/26/2025,GNV,22.7,36.1,7.9,0,0,10,0.22,5.65,400,1384,,,,,,,,,,,,,,,,,,
2/2/2025,GNV,22.7,36.1,7.8,0,0,8.5,0.22,6.46,398,1287,,,,,,,,,,,,,,,,,,
2/9/2025,GNV,21.7,35.6,7.8,0,0,9,0.15,6.15,400,1350,,,,,,,,,,,,,,,,,,
2/16/2025,GNV,22.7,36.1,8,0,0,9,0.12,5.95,396,1253,,,,,,,,,,,,,,,,,,
2/23/2025,GNV,22.7,35.2,8,0,0,7.3,0.14,6.57,389,1248,,,,,,,,,,,,,,,,,,
3/2/2025,GNV,21.7,35.6,7.9,0,0,6.4,0.09,6.07,398,1267,,,,,,,,,,,,,,,,,,
3/9/2025,GNV,22.7,35.4,8,0,0,6,0.11,6.26,415,1384,,,,,,,,,,,,,,,,,,
3/16/2025,GNV,22.7,36,7.8,0,0,5,0.11,6.51,408,1246,,,,,,,,,,,,,,,,,,
3/23/2025,GNV,22.7,36.1,7.8,0,0,6,0.17,6.02,406,1259,,,,,,,,,,,,,,,,,,
3/30/2025,GNV,22.6,35.3,8,0,0,5.5,0.08,6.24,410,1315,,,,,,,,,,,,,,,,,,
4/6/2025,GNV,22.8,36,8,0,0,5.5,0.22,6.85,395,1299,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
